EmpID,Age,AgeGroup,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,SalaryGap,DailyRateGap
RM297,18,18-25,1,Travel_Rarely,Research & Development,3,3,Life Sciences,3,Male,54,3,1,Laboratory Technician,3,Single,Upto 5k,25233,1,No,13,3,3,0,0,2,3,0,0,0,0.0,-1273.0,-602.5
RM302,18,18-25,0,Travel_Rarely,Sales,10,3,Medical,4,Female,69,2,1,Sales Representative,3,Single,Upto 5k,9724,1,No,12,3,1,0,0,2,3,0,0,0,0.0,-1372.0,66.0
RM458,18,18-25,1,Travel_Frequently,Sales,5,3,Marketing,2,Male,69,3,1,Sales Representative,2,Single,Upto 5k,8059,1,Yes,14,3,4,0,0,3,3,0,0,0,0.0,-694.0,560.0
RM728,18,18-25,0,Non-Travel,Research & Development,5,2,Life Sciences,2,Male,73,3,1,Research Scientist,4,Single,Upto 5k,13493,1,No,15,3,4,0,0,2,3,0,0,0,0.0,-1642.0,-545.5
RM829,18,18-25,1,Non-Travel,Research & Development,8,1,Medical,3,Male,80,3,1,Laboratory Technician,3,Single,Upto 5k,13556,1,No,12,3,4,0,0,0,3,0,0,0,0.0,-789.0,-585.5
RM973,18,18-25,0,Non-Travel,Research & Development,1,3,Life Sciences,4,Female,97,3,1,Laboratory Technician,4,Single,Upto 5k,19305,1,No,15,3,3,0,0,5,4,0,0,0,0.0,-1082.0,291.5
RM1154,18,18-25,1,Travel_Frequently,Sales,3,2,Medical,2,Female,70,3,1,Sales Representative,4,Single,Upto 5k,18420,1,Yes,12,3,3,0,0,2,4,0,0,0,0.0,-1003.0,-202.0
RM1312,18,18-25,0,Non-Travel,Research & Development,14,3,Medical,2,Female,33,3,1,Research Scientist,3,Single,Upto 5k,8018,1,No,16,3,3,0,0,4,1,0,0,0,0.0,-1179.0,598.5
RM128,19,18-25,1,Travel_Rarely,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,Upto 5k,26820,1,Yes,19,3,4,0,0,2,2,0,0,0,0.0,-897.0,-218.0
RM150,19,18-25,0,Travel_Rarely,Research & Development,3,1,Medical,2,Female,79,3,1,Laboratory Technician,2,Single,Upto 5k,16102,1,No,14,3,4,0,1,3,3,1,0,0,0.0,-1210.0,348.5
RM172,19,18-25,1,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,100,1,1,Sales Representative,1,Single,Upto 5k,20989,0,No,21,4,1,0,1,5,4,0,0,0,0.0,-247.0,-144.0
RM178,19,18-25,1,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,47,2,1,Laboratory Technician,4,Single,Upto 5k,9241,1,No,22,4,3,0,1,3,2,1,0,1,0.0,-1591.0,-529.5
RM423,19,18-25,1,Travel_Rarely,Human Resources,2,2,Technical Degree,1,Male,52,2,1,Human Resources,4,Single,Upto 5k,18437,1,No,12,3,3,0,1,3,4,1,0,0,0.0,-132.0,-299.0
RM689,19,18-25,1,Travel_Rarely,Sales,21,3,Other,4,Male,37,2,1,Sales Representative,2,Single,Upto 5k,9947,1,Yes,13,3,2,0,1,3,4,1,0,0,0.0,-451.0,-327.0
RM854,19,18-25,0,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Male,54,3,1,Research Scientist,1,Single,Upto 5k,7172,1,No,25,4,3,0,1,4,3,1,1,0,0.0,-141.0,-187.5
RM893,19,18-25,1,Non-Travel,Research & Development,10,3,Medical,1,Female,96,2,1,Research Scientist,2,Single,Upto 5k,6148,1,Yes,25,4,2,0,1,2,4,1,1,0,0.0,-834.0,-328.5
RM910,19,18-25,0,Travel_Rarely,Research & Development,25,3,Life Sciences,2,Female,57,4,1,Research Scientist,4,Single,Upto 5k,21221,1,Yes,12,3,4,0,1,2,3,1,0,0,1.0,301.0,-567.5
RM103,20,18-25,1,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,Upto 5k,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0.0,233.0,38.5
RM488,20,18-25,0,Travel_Rarely,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,Upto 5k,11757,1,No,13,3,4,0,1,0,4,1,0,0,0.0,143.0,126.5
RM514,20,18-25,1,Travel_Rarely,Research & Development,10,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,Upto 5k,26999,1,Yes,11,3,4,0,1,5,3,1,0,1,1.0,-1684.0,529.5
RM663,20,18-25,1,Travel_Rarely,Sales,2,3,Medical,3,Female,49,2,1,Sales Representative,3,Single,Upto 5k,22052,1,No,13,3,4,0,2,3,2,2,2,0,2.0,-528.0,-246.0
RM690,20,18-25,1,Travel_Rarely,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,Upto 5k,13008,1,No,19,3,2,0,1,2,3,1,0,0,0.0,280.0,-703.5
RM732,20,18-25,1,Travel_Rarely,Research & Development,11,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,Upto 5k,18275,1,Yes,15,3,1,0,1,2,3,1,0,0,0.0,-93.0,264.5
RM777,20,18-25,1,Travel_Frequently,Sales,9,3,Marketing,4,Female,54,3,1,Sales Representative,4,Single,Upto 5k,17205,1,Yes,14,3,2,0,2,3,3,2,2,0,2.0,-249.0,23.0
RM857,20,18-25,0,Travel_Rarely,Research & Development,3,3,Life Sciences,1,Male,87,2,1,Laboratory Technician,3,Single,Upto 5k,12828,1,No,12,3,1,0,2,2,2,2,2,1,2.0,340.0,-27.5
RM877,20,18-25,0,Travel_Rarely,Sales,21,3,Marketing,3,Male,43,4,1,Sales Representative,4,Single,Upto 5k,5050,1,No,17,3,4,0,2,2,3,2,1,2,2.0,106.0,-92.0
RM1179,20,18-25,0,Travel_Rarely,Sales,2,3,Medical,3,Female,31,3,1,Sales Representative,3,Single,Upto 5k,13251,1,No,19,3,1,0,2,3,3,2,2,2,2.0,211.0,395.0
RM1198,20,18-25,0,Travel_Rarely,Sales,9,1,Life Sciences,4,Male,54,3,1,Sales Representative,1,Single,Upto 5k,21082,1,No,11,3,1,0,2,3,3,2,2,0,2.0,156.0,-19.0
RM024,21,18-25,0,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,Upto 5k,19281,1,No,14,3,4,0,0,6,3,0,0,0,3.0,-1461.0,-441.5
RM275,21,18-25,0,Travel_Rarely,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,Upto 5k,10531,1,No,17,3,1,0,3,4,4,3,2,1,0.0,537.0,163.5
RM358,21,18-25,1,Travel_Frequently,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,Upto 5k,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2.0,-398.0,10.0
RM363,21,18-25,0,Non-Travel,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,Upto 5k,2851,1,No,24,4,3,0,3,3,2,3,2,2,3.0,38.0,149.0
RM371,21,18-25,1,Travel_Rarely,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,Upto 5k,25422,1,No,15,3,4,0,1,0,3,1,0,0,0.0,144.0,-590.0
RM497,21,18-25,0,Travel_Rarely,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,Upto 5k,24444,1,No,11,3,3,0,3,2,3,3,2,1,2.0,875.0,597.0
RM664,21,18-25,1,Travel_Rarely,Research & Development,18,1,Other,4,Female,65,3,1,Research Scientist,4,Single,Upto 5k,8870,1,No,19,3,1,0,1,3,2,1,0,0,0.0,0.0,594.5
RM778,21,18-25,1,Travel_Rarely,Research & Development,10,3,Life Sciences,3,Female,36,2,1,Laboratory Technician,1,Single,Upto 5k,17258,1,No,13,3,1,0,1,6,2,1,0,1,0.0,-1277.0,501.5
RM816,21,18-25,0,Travel_Rarely,Research & Development,1,1,Technical Degree,4,Female,70,2,1,Research Scientist,2,Single,Upto 5k,25326,1,Yes,11,3,3,0,2,6,4,2,2,2,2.0,-623.0,151.5
RM916,21,18-25,1,Travel_Frequently,Research & Development,10,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,Upto 5k,25308,1,No,20,4,3,0,2,2,1,2,2,2,2.0,-68.0,-581.5
RM1153,21,18-25,0,Travel_Rarely,Research & Development,5,1,Medical,3,Male,97,3,1,Research Scientist,4,Single,Upto 5k,26009,1,No,18,3,3,0,3,2,3,2,2,2,2.0,424.0,-286.5
